%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1482872570889295247,0,1482872570886602120,pose,9.6347360611,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872570917329358,1,1482872570916089211,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872570945106551,2,1482872570944018663,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872570979599976,3,1482872570978389301,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571008543140,4,1482872571007339350,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571038141221,5,1482872571037010527,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571065962277,6,1482872571064926895,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571094473283,7,1482872571093401184,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571123574778,8,1482872571122392264,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571152450201,9,1482872571151356091,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571182356088,10,1482872571178862863,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571210344932,11,1482872571208546487,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571238892519,12,1482872571237759415,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571266473536,13,1482872571265232552,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571295468846,14,1482872571294392021,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571323685236,15,1482872571322664937,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
1482872571351197951,16,1482872571350108821,pose,9.63474559784,20.1799144745,0.0,0.0,0.0,0.0,1.0
